group,sentence,condition,environment,png,expected
A,На него нужно надеть наушники. Ему не нужно давать гитару. Ему нужно дать белую кружку и леденец.,conjunction filler,,pic21.png,0
A,На него нужно надеть ботинки. Ему не нужно давать ракетку. Ему нужно дать чёрный зонт и метлу.,conjunction filler,,pic25.png,0
A,На него нужно надеть полосатый галстук. Ему не нужно давать портфель. Ему нужно дать трубку и рюкзак.,conjunction filler,,pic3.png,0
A,На него нужно надеть кепку. Ему не нужно давать рюкзак. Ему нужно дать карандаш и циркуль.,conjunction filler,,pic24.png,1
A,На него нужно надеть полосатые носки. Ему не нужно давать метлу. Ему нужно дать швабру и красное ведро.,conjunction filler,,pic6.png,1
A,На него нужно надеть наушники. Ему не нужно давать сковородку. Ему нужно дать красную кастрюлю и поварёшку.,conjunction filler,,pic14.png,1
A,На него нужно надеть очки. Ему не нужно давать тетрадь. Ему нужно дать жёлтый пенал и карандаши.,conjunction filler,,pic15.png,1
A,На него нужно надеть галстук. Ему не нужно давать скрипку. Ему нужно дать микрофон и гитару.,conjunction filler,,pic34.png,1
A,На него нужно надеть кепку. Ему не нужно давать зонт. Ему нужно дать цветок и корзинку.,conjunction filler,,pic35.png,1
A,На него нужно надеть очки. Ему не нужно давать карандаш. Ему нужно дать зелёную тетрадь и ручку.,conjunction filler,,pic5.png,1
A,"На него нужно надеть наушники. Ему не нужно давать скейтборд. Но, если тот шлем, который вы дадите ему, чёрный, ему нужно дать скейтборд.",p_true,,pic8.png,1
A,"На него нужно надеть кепку. Ему не нужно давать ракетку. Но, если тот мячик, котрый вы дадите ему, зелёный, ему нужно дать ракетку.",p_true,,pic10.png,1
A,"На него нужно надеть варежки. Ему не нужно давать клюшку. Но, если те коньки, которые вы дадите ему, белые, ему нужно дать клюшку.",p_true,,pic13.png,1
A,"На него нужно надеть наушники. Ему не нужно давать скейтборд. Но, если вы дадите ему скейтборд, тот шлем, который вы дадите ему, должен быть чёрным.",p_true,,pic8.png,1
A,"На него нужно надеть кепку. Ему не нужно давать ракетку. Но, если вы дадите ему ракетку, тот мячик, который вы дадите ему, должен быть зелёным.",p_true,,pic10.png,1
A,"На него нужно надеть варежки. Ему не нужно давать клюшку. Но, если вы дадите ему клюшку, те коньки, которые вы дадите ему, должны быть белыми.",p_true,,pic13.png,1
